nr;datum;Locatie;Methode;Locatie_VA;Gewicht Glasaal;Gewicht maag-darmstelsel;Anorganic Material;Cladocera sp.;Annelida;Polychaete;Isopoda;Diptera sp.;Chironomida sp.;Crustaceae sp.;Cyclopoida sp.;Unidentified sp.;Amphipoda sp.;Calanoida sp.;Copepoda sp.;Harpacticoida sp.;Hexapoda sp.;Coleoptera Larvae;Pennate diatom;Plantae sp.;Stomach
222;12/05/2017;SC-RO-SU;Artificial Substrates;Sluice Complex;0,244;0,0226;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Food present
223;12/05/2017;SC-RO-SU;Artificial Substrates;Sluice Complex;0,279;0,0229;0;0;0;1;0;0;1;0;26;1;0;0;0;2;0;0;0;0;Food present
224;12/05/2017;SC-RO-SU;Artificial Substrates;Sluice Complex;0,163;0,0231;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;Food present
225;12/05/2017;SC-RO-SU;Artificial Substrates;Sluice Complex;0,215;0,0225;0;0;0;1;0;0;0;0;0;1;0;0;0;5;0;0;0;0;Food present
226;12/05/2017;MI-RO-SU;Artificial Substrates;Middle Veurne-Ambacht;0,205;0,0316;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Food present
227;12/05/2017;MI-RO-SU;Artificial Substrates;Middle Veurne-Ambacht;0,266;0,0231;0;0;0;0;0;0;1;0;8;3;0;0;0;6;0;0;0;0;Food present
228;12/05/2017;MI-RO-SU;Artificial Substrates;Middle Veurne-Ambacht;0,294;0,021;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Food present
229;12/05/2017;MI-RO-SU;Artificial Substrates;Middle Veurne-Ambacht;0,221;0,026;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;Food present
230;12/05/2017;MI-RO-SU;Artificial Substrates;Middle Veurne-Ambacht;0,208;0,0191;1;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;Food present
231;12/05/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,192;0,011;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;Food present
232;12/05/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,229;0,0202;0;0;0;0;0;0;0;0;9;2;0;0;2;0;0;0;0;0;Food present
233;12/05/2017;PG-LO-PA;Eel Ladder;Pumping Station;;0,0119;0;1;0;1;0;0;0;0;4;1;0;0;0;0;0;0;0;0;Food present
234;12/05/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,205;0,014;0;0;0;0;0;0;0;0;6;0;0;2;9;0;0;0;0;0;Food present
235;12/05/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,202;0,0142;0;1;0;1;0;0;1;0;0;1;0;0;0;2;0;0;0;0;Food present
236;12/05/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,203;0,0185;0;3;0;2;0;0;0;0;21;0;0;0;0;0;0;0;0;0;Food present
237;19/05/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,232;0,0172;0;1;0;1;0;0;0;0;1;2;1;0;1;0;0;0;0;0;Food present
238;19/05/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,27;0,0185;0;18;0;0;0;0;0;0;11;1;0;0;0;0;0;0;0;0;Food present
239;19/05/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,257;0,0138;1;2;0;1;0;0;0;0;6;1;0;0;0;0;0;0;0;0;Food present
240;19/05/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,154;0,0131;0;2;0;1;0;0;0;0;16;1;0;0;0;0;0;0;0;0;Food present
241;19/05/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,161;0,0123;1;1;0;2;0;0;0;0;1;0;0;0;3;0;1;0;0;0;Food present
242;19/05/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,2;0,009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
243;19/05/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,13;0,01;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
244;19/05/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,231;0,0132;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;Food present
245;19/05/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,169;0,0133;0;1;0;1;0;0;1;0;13;0;0;0;0;0;0;0;0;0;Food present
246;19/05/2017;SC-LO-SU;Artificial Substrates;Sluice Complex;0,37;0,0343;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;Food present
247;19/05/2017;SC-LO-SU;Artificial Substrates;Sluice Complex;0,419;0,0499;0;0;0;2;0;0;1;0;0;0;1;0;0;1;0;0;0;0;Food present
248;19/05/2017;SC-LO-SU;Artificial Substrates;Sluice Complex;0,259;0,0297;0;0;0;1;0;0;1;0;1;0;4;0;0;2;0;0;0;0;Food present
249;19/05/2017;SC-LO-SU;Artificial Substrates;Sluice Complex;0,254;0,032;1;0;0;4;0;0;0;0;3;14;1;0;0;8;0;0;0;0;Food present
250;19/05/2017;SC-LO-SU;Artificial Substrates;Sluice Complex;0,304;0,0379;0;0;0;2;0;0;0;0;0;0;1;0;0;3;0;0;0;0;Food present
251;19/05/2017;MI-RO-SU;Artificial Substrates;Middle Veurne-Ambacht;0,256;0,0284;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Food present
252;19/05/2017;MI-RO-SU;Artificial Substrates;Middle Veurne-Ambacht;0,218;0,0241;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;Food present
