sample_code,14:0,15:0,16:0,16:1+iso-17:0,cis-9-16:1,17:0,17:1+16:2,18:0,cis-9-18:1,cis-11-18:1,18:2n-6,20:0,18:3n-3,20:1,18:4n-3,20:3n-6,22:0,20:4n-6,20:4n-3,20:5n-3,24:1,22:5n-6,22:5n-3,22:6n-3
124,3.913,0.753,24.015,0.802,4.777,0.721,0.526,5.771,17.216,4.499,1.020,0.228,0.662,1.481,0.336,0.210,0.114,2.261,2.609,6.133,1.825,0.749,3.519,15.861
125,2.451,0.537,24.328,0.695,3.568,0.594,0.382,7.060,16.807,3.191,0.885,0.246,0.618,1.188,0.312,0.212,0.119,2.634,2.617,6.913,2.292,0.351,3.571,18.429
126,3.221,0.618,23.883,0.732,4.252,0.713,0.446,6.376,17.411,3.775,1.060,0.294,0.607,1.575,0.314,0.231,0.125,3.255,2.626,6.126,2.377,0.684,3.127,16.171
127,0.963,0.543,20.872,0.579,4.448,0.716,0.463,7.458,14.671,4.277,0.752,0.435,0.340,1.226,0.112,0.211,0.175,4.593,1.769,7.169,4.330,0.389,3.374,20.135
129,2.052,0.472,23.898,0.577,3.953,0.580,0.379,6.234,15.837,3.722,0.900,0.308,0.558,1.303,0.221,0.188,0.120,2.930,2.294,7.195,2.574,0.435,3.371,19.899
132,2.056,0.445,24.456,0.675,3.671,0.549,0.386,6.762,16.601,3.192,0.898,0.247,0.579,1.288,0.172,0.166,0.117,2.753,1.943,6.615,2.832,0.336,3.835,19.425
133,2.311,0.635,23.919,0.725,3.846,0.746,0.459,6.797,15.463,3.426,0.909,0.302,0.456,1.233,0.185,0.243,0.159,3.476,2.147,6.896,2.956,0.495,3.783,18.434
134,1.148,0.411,22.631,0.483,2.589,0.551,0.278,7.029,13.443,3.000,0.836,0.283,0.445,0.873,0.154,0.211,0.128,3.678,2.348,8.046,3.413,0.445,4.012,23.564
136,1.204,0.431,20.579,0.550,2.801,0.666,0.373,7.686,14.473,2.814,0.844,0.377,0.336,1.038,0.103,0.267,0.247,4.738,1.969,7.348,3.961,0.301,3.479,23.417
138,2.633,0.519,23.710,0.871,4.355,0.607,0.453,6.251,16.961,4.008,0.856,0.212,0.623,1.387,0.224,0.182,0.112,2.478,2.432,6.002,2.527,0.324,3.935,18.340
